run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,search_stage,candidate_name,candidate_profile,runtime_seconds,planned_index,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,experiment_group,short_name,display_name
20260531_210708_finetuned_r50-mnv2_concat_mlp_cw_adamw_regularized_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.001,0.5,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_regularized,screen,cw_adamw_regularized,cw_adamw_regularized,14.823400750057772,31,0.6485659591215179,3,0.7842876165113183,0.6526514212604437,0.7321721636923196,0.6831825672398668,0.7938619095233571,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260531_210737_finetuned_r50-effb0_concat_mlp_cw_adamw_base_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_base,screen,cw_adamw_base,cw_adamw_base,14.520275125047192,33,0.6478748400308836,3,0.7869507323568575,0.6518942310097336,0.7200410686613443,0.6814058799460335,0.7945870496745066,pairwise,r50+effb0 concat,r50+effb0 concat
20260531_210559_finetuned_r50-mnv2_concat_mlp_cw_adamw_low_lr_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.0003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_low_lr,screen,cw_adamw_low_lr,cw_adamw_low_lr,27.90668879216537,27,0.647681142551715,10,0.7909454061251664,0.6937967942006916,0.6877862949948372,0.6855127163346921,0.7964179324127266,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260531_212500_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p256_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,256,4608.0,256.0,256.0,True,adamw,0.0003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_low_lr_p256,screen,w_cw_adamw_low_lr_p256,w_cw_adamw_low_lr,22.210143540985882,67,0.6475171001064179,3,0.7802929427430093,0.6391136757822513,0.7319965075655166,0.6770292362063074,0.7892224761064568,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_211631_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,1024,3328.0,1024.0,1024.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_base_p1024,screen,w_cw_adamw_base_p1024,w_cw_adamw_base,64.23359145806171,51,0.6459440530523208,11,0.8009320905459387,0.6451965431114733,0.6957482338101981,0.6605081668016709,0.8024940953306942,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_212025_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_regularized_p512_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.001,0.5,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_regularized_p512,screen,w_cw_adamw_regularized_p512,w_cw_adamw_regularized,21.23661420796998,59,0.6450939881185277,3,0.7782956058588548,0.6460570643321335,0.7261009231204499,0.6794384288645837,0.7870018082137243,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_212112_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_regularized_p1024_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,1024,3328.0,1024.0,1024.0,True,adamw,0.001,0.001,0.5,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_regularized_p1024,screen,w_cw_adamw_regularized_p1024,w_cw_adamw_regularized,47.34047062508762,60,0.6446299363839286,8,0.7842876165113183,0.6954726497285807,0.7026381301525163,0.6892993005384377,0.7947520872865624,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_212813_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_regularized_p1024_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,1024,4608.0,1024.0,1024.0,True,adamw,0.001,0.001,0.5,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_regularized_p1024,screen,w_cw_adamw_regularized_p1024,w_cw_adamw_regularized,40.911496167071164,72,0.6439062487244815,3,0.7769640479360852,0.6434011043874032,0.731246377418174,0.6759424581949774,0.7866453092322897,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_212004_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_regularized_p256_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,256,3328.0,256.0,256.0,True,adamw,0.001,0.001,0.5,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_regularized_p256,screen,w_cw_adamw_regularized_p256,w_cw_adamw_regularized,29.94870370812714,58,0.6437133029209924,10,0.7736351531291611,0.6526305174867731,0.7004663324818913,0.6682670954064774,0.7824771050261531,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_210507_finetuned_r50-mnv2_concat_mlp_cw_adamw_base_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_base,screen,cw_adamw_base,cw_adamw_base,20.79157958412543,25,0.6430125055968572,6,0.7882822902796272,0.6620520356419203,0.6933513378963473,0.6715827729971414,0.7943579330751069,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260531_211455_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p256_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,256,3328.0,256.0,256.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_base_p256,screen,w_cw_adamw_base_p256,w_cw_adamw_base,21.03598270798102,49,0.6426183240115614,4,0.7936085219707057,0.7054116484057047,0.6821385103000577,0.6872054161024818,0.7972945050824168,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_210829_finetuned_r50-effb0_concat_mlp_cw_adamw_low_lr_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.0003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_low_lr,screen,cw_adamw_low_lr,cw_adamw_low_lr,22.869096250040457,35,0.6419655456724245,7,0.7796271637816246,0.6519272105465531,0.7040468252855753,0.6735519989644111,0.7882233314299643,pairwise,r50+effb0 concat,r50+effb0 concat
20260531_211041_finetuned_r50-effb0_concat_mlp_cw_adamw_regularized_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.001,0.5,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_regularized,screen,cw_adamw_regularized,cw_adamw_regularized,38.05498945899308,39,0.6397766290889981,11,0.7862849533954727,0.6795070004516904,0.7040928722386388,0.6831922774705036,0.7922280374580214,pairwise,r50+effb0 concat,r50+effb0 concat
20260531_210007_finetuned_r50_none_mlp_cw_sgd_base_s42,resnet50,"[""resnet50""]",resnet50,1,finetuned,none,42,2048,,,,True,sgd,0.01,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_sgd_base,screen,cw_sgd_base,cw_sgd_base,12.846318166004494,8,0.639611123902992,3,0.7782956058588548,0.652662194560316,0.7041496401165784,0.6706267536697205,0.7861175325098697,single,r50,r50
20260531_211830_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.0003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_low_lr_p512,screen,w_cw_adamw_low_lr_p512,w_cw_adamw_low_lr,20.068621791899204,56,0.6395661552733048,3,0.7769640479360852,0.6352033832840845,0.7245374921396673,0.6691808350271614,0.786744099916981,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_210625_finetuned_r50-mnv2_concat_mlp_cw_adamw_small_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,[256],sprint4c_finetuned_mlpfusion_screen,cw_adamw_small,screen,cw_adamw_small,cw_adamw_small,10.443004125030711,29,0.6394614794929844,2,0.7756324900133156,0.6286118916432126,0.7288476796252127,0.6695124367030078,0.7854657813146622,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260531_210722_finetuned_r50-mnv2_concat_mlp_cw_sgd_base_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned,concat,42,3328,3328.0,3328.0,,True,sgd,0.01,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_sgd_base,screen,cw_sgd_base,cw_sgd_base,14.491930875228718,32,0.6390919516833119,3,0.7643142476697736,0.6502310440122141,0.7185379478644496,0.6712700529593744,0.7771491809917296,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260531_211120_finetuned_r50-mnv2-effb0_concat_mlp_cw_adamw_base_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,concat,42,4608,4608.0,4608.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_base,screen,cw_adamw_base,cw_adamw_base,23.80086366692558,41,0.6388917074958013,4,0.8042609853528628,0.7035822050114758,0.6887731269724017,0.6865669114215966,0.8081993169138106,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
