model_key,display_name,run_id,split,policy,label,precision,recall,f1,support,stage,identity_precision,identity_recall,identity_f1,identity_support,f1_gain,precision_gain,recall_gain
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_flip4,akiec,0.4805194805194805,0.6981132075471698,0.5692307692307692,53,validation,0.4512195121951219,0.6981132075471698,0.5481481481481482,53,0.021082621082621045,0.029299968324358605,0.0
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_flip4,bcc,0.7763157894736842,0.7195121951219512,0.7468354430379747,82,validation,0.7142857142857143,0.6707317073170732,0.6918238993710691,82,0.05501154366690553,0.06203007518796988,0.04878048780487798
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_flip4,bkl,0.6751592356687898,0.6625,0.668769716088328,160,validation,0.6729559748427673,0.66875,0.670846394984326,160,-0.002076678895997941,0.002203260826022513,-0.006249999999999978
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_flip4,df,0.8571428571428571,0.5,0.631578947368421,24,validation,0.7857142857142857,0.4583333333333333,0.5789473684210527,24,0.05263157894736836,0.0714285714285714,0.041666666666666685
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_flip4,nv,0.9262948207171314,0.9135559921414538,0.9198813056379822,1018,validation,0.9151696606786428,0.900785854616896,0.907920792079208,1018,0.011960513558774255,0.011125160038488624,0.0127701375245578
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_flip4,mel,0.631578947368421,0.6936416184971098,0.6611570247933884,173,validation,0.592391304347826,0.630057803468208,0.6106442577030813,173,0.050512767090307165,0.039187643020594964,0.06358381502890176
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_flip4,vasc,0.8571428571428571,0.5454545454545454,0.6666666666666666,22,validation,0.7857142857142857,0.5,0.6111111111111112,22,0.05555555555555547,0.0714285714285714,0.045454545454545414
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_rot4,akiec,0.5211267605633803,0.6981132075471698,0.5967741935483871,53,validation,0.4512195121951219,0.6981132075471698,0.5481481481481482,53,0.04862604540023896,0.06990724836825835,0.0
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_rot4,bcc,0.75,0.7682926829268293,0.7590361445783133,82,validation,0.7142857142857143,0.6707317073170732,0.6918238993710691,82,0.06721224520724411,0.0357142857142857,0.09756097560975607
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_rot4,bkl,0.6566265060240963,0.68125,0.6687116564417178,160,validation,0.6729559748427673,0.66875,0.670846394984326,160,-0.00213473854260815,-0.016329468818670922,0.012500000000000067
